pd_c,pd_nm,clac_hlv_nm,clac_mcls_nm
PD1720,남성레인부츠/슈즈,패션잡화,남성화
PD1721,남성컴포트화,패션잡화,남성화
PD1722,남성방한화,패션잡화,남성화
PD1723,남성신발부속품,패션잡화,남성화
PD1724,기타남성화,패션잡화,남성화
PD1725,아동모,패션잡화,모자
PD1726,썬캡,패션잡화,모자
PD1727,비니,패션잡화,모자
PD1728,야구모자,패션잡화,모자
PD1729,스냅백,패션잡화,모자
PD1730,군모,패션잡화,모자
PD1731,방한모,패션잡화,모자
PD1732,벙거지,패션잡화,모자
PD1733,헤드웨어,패션잡화,모자
PD1734,기타모자,패션잡화,모자
PD1735,여성벨트,패션잡화,벨트
PD1736,남성벨트,패션잡화,벨트
PD1737,아동벨트,패션잡화,벨트
PD1738,멜빵,패션잡화,벨트
PD1739,반지,패션잡화,보석
PD1740,목걸이,패션잡화,보석
PD1741,펜던트,패션잡화,보석
PD1742,귀걸이,패션잡화,보석
PD1743,팔찌,패션잡화,보석
PD1744,발찌,패션잡화,보석
PD1745,브로치,패션잡화,보석
PD1746,순금/순은/장식품,패션잡화,보석
PD1747,원석,패션잡화,보석
PD1748,보석기념품,패션잡화,보석
PD1749,보석세트,패션잡화,보석
PD1750,기타보석류,패션잡화,보석
PD1751,여성시계,패션잡화,시계
PD1752,남성시계,패션잡화,시계
PD1753,캐쥬얼시계,패션잡화,시계
PD1754,유아동시계,패션잡화,시계
PD1755,스포츠시계,패션잡화,시계
PD1756,시계세트,패션잡화,시계
PD1757,시계부속품,패션잡화,시계
PD1758,여성선글라스,패션잡화,안경/선글라스
PD1759,남성선글라스,패션잡화,안경/선글라스
PD1760,유아동선글라스,패션잡화,안경/선글라스
PD1761,안경테,패션잡화,안경/선글라스
PD1762,안경소품,패션잡화,안경/선글라스
PD1763,여성숄더백,패션잡화,여성가방
PD1764,여성토트백,패션잡화,여성가방
PD1765,여성크로스백,패션잡화,여성가방
PD1766,여성클러치백,패션잡화,여성가방
PD1767,여성백팩,패션잡화,여성가방
PD1768,여성힙색,패션잡화,여성가방
PD1769,여성가방액세서리,패션잡화,여성가방
PD1770,여성일반지갑,패션잡화,여성지갑
PD1771,여성카드/명함지갑,패션잡화,여성지갑
PD1772,여성부츠,패션잡화,여성화
PD1773,여성플랫,패션잡화,여성화
PD1774,여성로퍼,패션잡화,여성화
PD1775,여성슬립온,패션잡화,여성화
PD1776,여성펌프스,패션잡화,여성화
PD1777,여성오픈토,패션잡화,여성화
PD1778,여성슬링백,패션잡화,여성화
PD1779,여성샌들,패션잡화,여성화
PD1780,여성쪼리,패션잡화,여성화
PD1781,여성슬리퍼,패션잡화,여성화
PD1782,여성스니커즈,패션잡화,여성화
PD1783,여성레인부츠/슈즈,패션잡화,여성화
PD1784,여성컴포트화,패션잡화,여성화
PD1785,여성방한화,패션잡화,여성화
PD1786,여성신발부속품,패션잡화,여성화
PD1787,기타여성화,패션잡화,여성화
PD1788,캐리어,패션잡화,여행용가방류
PD1789,기타여행용가방,패션잡화,여행용가방류
PD1790,여행용소품,패션잡화,여행용가방류
PD1791,장우산,패션잡화,우산/양산류
PD1792,3단우산,패션잡화,우산/양산류
PD1793,2단우산,패션잡화,우산/양산류
PD1794,아동우산,패션잡화,우산/양산류
PD1795,일회용우산,패션잡화,우산/양산류
PD1796,양산,패션잡화,우산/양산류
PD1797,우비,패션잡화,우산/양산류
PD1798,유아동부츠,패션잡화,유아동화
PD1799,유아동플랫,패션잡화,유아동화
PD1800,유아동로퍼,패션잡화,유아동화
PD1801,유아동슬립온,패션잡화,유아동화
PD1802,유아동샌들,패션잡화,유아동화
PD1803,유아동슬리퍼,패션잡화,유아동화
PD1804,유아동스니커즈,패션잡화,유아동화
PD1805,유아동레인부츠/슈즈,패션잡화,유아동화
PD1806,유아동방한화,패션잡화,유아동화
PD1807,유아동신발부속품,패션잡화,유아동화
PD1808,기타유아동화,패션잡화,유아동화
PD1809,여성장갑,패션잡화,장갑
PD1810,남성장갑,패션잡화,장갑
PD1811,유아동장갑,패션잡화,장갑
PD1812,캐쥬얼숄더백,패션잡화,캐쥬얼가방
PD1813,캐쥬얼크로스백,패션잡화,캐쥬얼가방
PD1814,캐쥬얼백팩,패션잡화,캐쥬얼가방
PD1815,캐쥬얼힙색,패션잡화,캐쥬얼가방
PD1816,학생용가방,패션잡화,캐쥬얼가방
PD1817,아동용가방,패션잡화,캐쥬얼가방
PD1818,노트북가방,패션잡화,캐쥬얼가방
PD1819,소품가방,패션잡화,캐쥬얼가방
PD1820,스카프,패션잡화,패션액세서리
PD1821,머플러,패션잡화,패션액세서리
PD1822,넥워머,패션잡화,패션액세서리
PD1823,열쇠고리,패션잡화,패션액세서리
PD1824,손수건,패션잡화,패션액세서리
PD1825,패션액세서리세트,패션잡화,패션액세서리
PD1826,유아패션잡화,패션잡화,패션액세서리
PD1827,기타패션잡화,패션잡화,패션액세서리
PD1828,여성헤어액세서리,패션잡화,헤어액세서리
PD1829,유아동헤어액세서리,패션잡화,헤어액세서리
PD1830,치약,퍼스널케어,구강케어
PD1831,칫솔,퍼스널케어,구강케어
PD1832,전동칫솔/칫솔모,퍼스널케어,구강케어
PD1833,구강청정제,퍼스널케어,구강케어
PD1834,기타구강관리용품,퍼스널케어,구강케어
PD1835,치약/칫솔세트,퍼스널케어,구강케어
PD1836,일회용면도기,퍼스널케어,면도용품
PD1837,남성용면도기/날,퍼스널케어,면도용품
PD1838,쉐이빙폼/젤,퍼스널케어,면도용품
PD1839,바디워시,퍼스널케어,바디케어
PD1840,바디보습,퍼스널케어,바디케어
PD1841,입욕제/스파제품,퍼스널케어,바디케어
PD1842,바디케어세트,퍼스널케어,바디케어
PD1843,바디슬리밍/리프팅,퍼스널케어,바디케어
PD1844,제모용품,퍼스널케어,바디케어
PD1845,데오도란트,퍼스널케어,바디케어
PD1846,바디패치/팩,퍼스널케어,바디케어
PD1847,생리대,퍼스널케어,여성위생용품
PD1848,탐폰,퍼스널케어,여성위생용품
PD1849,팬티라이너,퍼스널케어,여성위생용품
PD1850,여성세정제,퍼스널케어,여성위생용품
PD1851,성인용기저귀,퍼스널케어,특수위생용품
PD1852,성인용일회용팬티,퍼스널케어,특수위생용품
PD1853,핸드워시/손세정제,퍼스널케어,핸드/풋케어
PD1854,핸드로션/크림,퍼스널케어,핸드/풋케어
PD1855,풋케어,퍼스널케어,핸드/풋케어
PD1856,핸드/풋케어세트,퍼스널케어,핸드/풋케어
PD1857,샴푸,퍼스널케어,헤어케어
PD1858,린스/컨디셔너,퍼스널케어,헤어케어
PD1859,샴푸/린스세트,퍼스널케어,헤어케어
PD1860,트리트먼트/팩,퍼스널케어,헤어케어
PD1861,헤어에센스,퍼스널케어,헤어케어
PD1862,헤어스프레이,퍼스널케어,헤어케어
PD1863,헤어무스/젤,퍼스널케어,헤어케어
PD1864,헤어왁스,퍼스널케어,헤어케어
PD1865,염모제,퍼스널케어,헤어케어
PD1866,헤어펌/코팅제,퍼스널케어,헤어케어
PD1867,헤어케어선물세트,퍼스널케어,헤어케어
PD1868,여행용세트,퍼스널케어,헤어케어
PD1869,격투기의류/용품,헬스/피트니스,격투기
PD1870,스포츠댄스의류/용품,헬스/피트니스,스포츠댄스
PD1871,웨이트기구,헬스/피트니스,웨이트
PD1872,웨이트용품,헬스/피트니스,웨이트
PD1873,웨이트소품,헬스/피트니스,웨이트
PD1874,러닝/워킹머신,헬스/피트니스,피트니스
PD1875,헬스바이크,헬스/피트니스,피트니스
PD1876,스텝퍼/트위스트,헬스/피트니스,피트니스
PD1877,복근/벨트마사지기구,헬스/피트니스,피트니스
PD1878,기타피트니스기구,헬스/피트니스,피트니스
PD1879,피트니스용품,헬스/피트니스,피트니스
PD1880,요가/스포츠매트,헬스/피트니스,피트니스
PD1881,요가/필라테스복,헬스/피트니스,피트니스
PD1882,에어로빅복,헬스/피트니스,피트니스
PD1883,기타요가/필라테스소품,헬스/피트니스,피트니스
PD1884,남성용클렌저,화장품/뷰티케어,남성케어
PD1885,남성용스킨케어류,화장품/뷰티케어,남성케어
PD1886,남성스킨케어세트,화장품/뷰티케어,남성케어
PD1887,남성용선크림/메이크업류,화장품/뷰티케어,남성케어
PD1888,메이크업베이스/프라이머,화장품/뷰티케어,메이크업
PD1889,BB/파운데이션/컴팩트류,화장품/뷰티케어,메이크업
PD1890,블러셔/쉐이딩/하이라이터,화장품/뷰티케어,메이크업
PD1891,아이라이너,화장품/뷰티케어,메이크업
PD1892,아이브로우,화장품/뷰티케어,메이크업
PD1893,마스카라,화장품/뷰티케어,메이크업
PD1894,아이섀도우,화장품/뷰티케어,메이크업
PD1895,립스틱/립라이너,화장품/뷰티케어,메이크업
PD1896,립글로즈/틴트,화장품/뷰티케어,메이크업
PD1897,젤네일/케어류,화장품/뷰티케어,메이크업
PD1898,일반네일/케어류,화장품/뷰티케어,메이크업
PD1899,네일스티커/스톤류,화장품/뷰티케어,메이크업
PD1900,네일세트,화장품/뷰티케어,메이크업
PD1901,메이크업세트,화장품/뷰티케어,메이크업
PD1902,기름종이,화장품/뷰티케어,미용소품
PD1903,메탈미용소도구,화장품/뷰티케어,미용소품
PD1904,속눈썹/쌍꺼풀,화장품/뷰티케어,미용소품
PD1905,메이크업브러쉬,화장품/뷰티케어,미용소품
PD1906,스폰지/퍼프,화장품/뷰티케어,미용소품
PD1907,네일케어도구,화장품/뷰티케어,미용소품
PD1908,풋케어도구,화장품/뷰티케어,미용소품
PD1909,샤워/목욕도구/목욕헤어밴드,화장품/뷰티케어,미용소품
PD1910,헤어브러쉬/롤,화장품/뷰티케어,미용소품
PD1911,가발/부분가발,화장품/뷰티케어,미용소품
PD1912,면봉/화장솜,화장품/뷰티케어,미용소품
PD1913,공병/모델링팩전용도구,화장품/뷰티케어,미용소품
PD1914,미용거울,화장품/뷰티케어,미용소품
PD1915,선크림류,화장품/뷰티케어,선케어
PD1916,태닝/애프터선케어,화장품/뷰티케어,선케어
PD1917,미용비누,화장품/뷰티케어,스킨케어
PD1918,페이셜클렌저,화장품/뷰티케어,스킨케어
PD1919,스킨/토너,화장품/뷰티케어,스킨케어
PD1920,미스트,화장품/뷰티케어,스킨케어
PD1921,에멀젼/로션,화장품/뷰티케어,스킨케어
PD1922,에센스/세럼,화장품/뷰티케어,스킨케어
PD1923,아이케어,화장품/뷰티케어,스킨케어
PD1924,크림/밤/오일,화장품/뷰티케어,스킨케어
PD1925,페이셜팩류,화장품/뷰티케어,스킨케어
PD1926,립밤/립스크럽,화장품/뷰티케어,스킨케어
PD1927,스킨케어디바이스,화장품/뷰티케어,스킨케어
PD1928,스킨케어세트,화장품/뷰티케어,스킨케어
PD1929,여성향수,화장품/뷰티케어,향수
PD1930,남성향수,화장품/뷰티케어,향수
PD1931,남녀공용향수,화장품/뷰티케어,향수
PD1932,남성향수세트,화장품/뷰티케어,향수
PD1933,남녀공용향수세트,화장품/뷰티케어,향수
